,Corporeality,Sliminess,Intellect,Hostility,Grotesqueness,Exorcist Hired,Cost of Exorcism (sp)
16583,35,22,83,87,78,Wraith Wranglers,5015
16584,15,21,59,44,14,Spectre Slayers,3572
16585,28,49,17,41,34,Entity Eliminators,3627
16586,52,42,52,24,45,Demon Destroyers,1705
16587,34,38,32,35,37,Spectre Slayers,2684
16588,44,43,48,28,15,Mundanifying Mystics,3648
16589,48,75,91,51,70,Entity Eliminators,3329
16590,62,54,38,47,35,Spectre Slayers,3149
16591,40,27,47,44,70,Mundanifying Mystics,4027
16592,50,18,6,31,25,Entity Eliminators,2101
16593,74,77,53,80,54,Wraith Wranglers,6815
16594,31,25,6,48,27,Wraith Wranglers,3717
16595,39,65,62,46,71,Demon Destroyers,4211
16596,74,80,71,73,75,Phantom Pummelers,5594
16597,23,12,25,13,23,Spectre Slayers,1728
16598,47,64,42,26,21,Mundanifying Mystics,3445
16599,48,72,25,62,59,Mundanifying Mystics,1748
16600,17,33,12,68,30,Demon Destroyers,2662
16601,47,28,32,76,51,Entity Eliminators,2593
16602,29,18,57,12,21,Mundanifying Mystics,4027
16603,60,73,79,85,83,Entity Eliminators,6632
16604,58,73,89,88,79,Phantom Pummelers,5633
16605,55,55,41,60,75,Mundanifying Mystics,1858
16606,32,52,30,57,38,Demon Destroyers,2974
16607,57,81,89,48,64,Phantom Pummelers,5728
16608,14,72,27,79,61,Demon Destroyers,4858
16609,40,79,46,65,64,Spectre Slayers,3647
16610,60,62,47,68,73,Mundanifying Mystics,2972
16611,19,48,37,18,64,Phantom Pummelers,4625
16612,54,56,45,51,30,Spectre Slayers,4236
16613,67,73,70,20,62,Mundanifying Mystics,3260
16614,28,37,17,31,47,Phantom Pummelers,2588
16615,57,84,46,87,78,Mundanifying Mystics,2292
16616,81,66,52,56,88,Spectre Slayers,4649
16617,26,21,67,36,18,Demon Destroyers,1706
16618,82,81,72,53,75,Phantom Pummelers,4705
16619,31,23,9,19,21,Demon Destroyers,1873
16620,53,71,56,87,73,Mundanifying Mystics,2522
16621,65,79,64,62,73,Entity Eliminators,2796
16622,39,63,75,92,65,Phantom Pummelers,4678
16623,73,79,65,83,57,Phantom Pummelers,5574
16624,29,51,22,63,18,Demon Destroyers,1912
16625,48,63,60,65,41,Entity Eliminators,6739
16626,28,29,46,10,38,Demon Destroyers,2207
16627,52,51,14,12,33,Demon Destroyers,2171
16628,56,72,78,81,75,Phantom Pummelers,5126
16629,98,85,48,86,53,Entity Eliminators,4832
16630,49,65,64,80,44,Mundanifying Mystics,3429
16631,36,13,35,31,14,Spectre Slayers,2753
16632,28,18,59,24,28,Mundanifying Mystics,2739
16633,65,25,34,31,39,Phantom Pummelers,1206
16634,41,39,24,36,34,Phantom Pummelers,2586
16635,37,43,44,40,25,Demon Destroyers,2983
16636,15,5,13,29,19,Demon Destroyers,2093
16637,63,68,95,62,50,Mundanifying Mystics,4035
16638,51,71,74,60,68,Demon Destroyers,5674
16639,52,41,82,56,79,Phantom Pummelers,3609
16640,29,20,19,31,69,Spectre Slayers,1443
16641,35,32,68,14,25,Demon Destroyers,1787
16642,32,17,26,22,33,Demon Destroyers,3230
16643,64,58,8,60,52,Entity Eliminators,3420
16644,71,80,55,88,74,Demon Destroyers,5465
16645,53,69,28,92,65,Demon Destroyers,4455
16646,66,64,78,78,74,Mundanifying Mystics,4052
16647,46,61,50,38,54,Phantom Pummelers,5143
16648,44,39,31,71,16,Mundanifying Mystics,3910
16649,48,71,70,47,70,Demon Destroyers,4614
16650,67,54,84,86,79,Phantom Pummelers,2992
16651,69,35,90,81,49,Phantom Pummelers,2508
16652,29,25,49,19,39,Demon Destroyers,1799
16653,25,38,11,17,18,Entity Eliminators,2580
16654,68,74,36,80,65,Wraith Wranglers,4490
16655,16,20,23,34,28,Mundanifying Mystics,3098
16656,37,52,4,54,20,Mundanifying Mystics,3045
16657,42,18,13,63,20,Wraith Wranglers,3681
16658,29,32,19,35,50,Entity Eliminators,1766
16659,36,42,14,21,25,Wraith Wranglers,1608
16660,64,75,70,86,69,Demon Destroyers,4266
16661,42,56,81,72,53,Demon Destroyers,4329
16662,87,96,52,94,69,Phantom Pummelers,3627
16663,27,34,41,40,46,Phantom Pummelers,2043
16664,26,26,55,44,35,Mundanifying Mystics,2721
16665,73,92,58,80,54,Mundanifying Mystics,2448
16666,58,70,77,40,30,Demon Destroyers,2305
16667,45,55,51,82,62,Wraith Wranglers,6922
16668,11,23,47,21,36,Phantom Pummelers,2744
16669,33,48,55,54,48,Spectre Slayers,2989
16670,68,86,28,65,71,Entity Eliminators,3117
16671,58,57,56,77,76,Demon Destroyers,5434
16672,52,71,60,83,31,Demon Destroyers,3644
16673,58,52,69,92,47,Demon Destroyers,3547
16674,46,18,21,18,26,Entity Eliminators,1709
16675,75,58,73,80,73,Mundanifying Mystics,2744
16676,19,15,31,20,28,Demon Destroyers,1893
16677,23,12,85,39,60,Wraith Wranglers,2288
16678,47,47,19,37,58,Demon Destroyers,4754
16679,23,27,18,14,29,Demon Destroyers,1774
16680,47,55,22,82,48,Wraith Wranglers,6507
16681,67,78,67,55,32,Mundanifying Mystics,2589
16682,76,73,72,75,81,Demon Destroyers,4148
16683,39,32,79,45,43,Wraith Wranglers,5028
16684,62,49,65,64,73,Mundanifying Mystics,2618
16685,27,29,37,61,23,Wraith Wranglers,2657
16686,25,38,20,28,26,Demon Destroyers,2488
16687,71,73,26,65,40,Entity Eliminators,2278
16688,69,70,76,72,61,Spectre Slayers,5580
16689,72,27,80,88,40,Spectre Slayers,4487
16690,60,60,19,82,40,Entity Eliminators,4521
16691,78,80,63,39,72,Mundanifying Mystics,2634
16692,61,80,73,61,57,Phantom Pummelers,4446
16693,43,62,74,80,55,Mundanifying Mystics,2510
16694,31,40,40,45,46,Entity Eliminators,3296
16695,78,63,63,44,57,Mundanifying Mystics,2760
16696,50,66,39,70,71,Phantom Pummelers,5031
16697,25,63,16,41,22,Spectre Slayers,1443
16698,49,22,39,28,29,Mundanifying Mystics,3512
16699,49,38,37,25,28,Wraith Wranglers,2265
16700,34,61,59,36,67,Entity Eliminators,3382
16701,65,52,63,81,51,Mundanifying Mystics,2597
16702,54,73,80,63,61,Mundanifying Mystics,2578
16703,38,40,16,12,42,Mundanifying Mystics,3376
16704,49,57,65,71,67,Entity Eliminators,6752
16705,21,37,21,20,21,Wraith Wranglers,1507
16706,81,83,77,40,66,Mundanifying Mystics,2299
16707,85,27,42,68,60,Phantom Pummelers,1976
16708,70,59,92,70,82,Phantom Pummelers,4275
16709,22,46,16,45,26,Mundanifying Mystics,4417
16710,58,50,92,59,68,Entity Eliminators,4087
16711,41,72,81,82,79,Demon Destroyers,4857
16712,62,21,29,33,44,Entity Eliminators,1559
16713,54,77,94,95,58,Mundanifying Mystics,2262
16714,62,42,69,67,47,Mundanifying Mystics,2605
16715,58,79,68,71,53,Entity Eliminators,3943
16716,49,66,82,27,70,Entity Eliminators,4149
16717,20,25,39,26,25,Demon Destroyers,2279
16718,23,19,12,16,14,Mundanifying Mystics,4856
16719,63,75,79,51,68,Mundanifying Mystics,3100
16720,78,59,57,80,77,Mundanifying Mystics,2913
16721,75,76,40,64,86,Phantom Pummelers,3715
16722,16,25,76,57,64,Mundanifying Mystics,2357
16723,38,26,35,16,67,Phantom Pummelers,3019
16724,26,13,26,31,33,Spectre Slayers,2611
16725,12,42,22,16,25,Entity Eliminators,2006
16726,26,78,42,27,31,Entity Eliminators,3853
16727,64,19,20,16,48,Wraith Wranglers,2379
16728,37,17,9,67,17,Mundanifying Mystics,2851
16729,26,58,33,34,48,Entity Eliminators,4132
16730,67,82,80,89,69,Demon Destroyers,3046
16731,47,25,53,32,28,Entity Eliminators,2179
16732,25,32,63,51,75,Spectre Slayers,5272
16733,27,25,11,40,48,Mundanifying Mystics,4096
16734,69,45,66,70,73,Phantom Pummelers,3019
16735,23,33,17,46,26,Demon Destroyers,2321
16736,31,36,19,7,51,Demon Destroyers,3182
16737,63,20,50,33,27,Mundanifying Mystics,3678
16738,17,17,38,58,52,Phantom Pummelers,2247
16739,35,16,76,46,23,Spectre Slayers,4926
16740,62,73,83,75,63,Wraith Wranglers,5978
16741,79,62,82,47,65,Mundanifying Mystics,3094
16742,74,78,75,81,68,Spectre Slayers,4572
16743,34,51,28,40,75,Entity Eliminators,2811
16744,53,18,43,59,25,Entity Eliminators,3237
16745,19,23,44,9,46,Phantom Pummelers,2445
16746,45,60,84,89,53,Mundanifying Mystics,2881
16747,72,58,52,95,89,Wraith Wranglers,5981
16748,33,64,77,38,57,Spectre Slayers,8083
16749,38,21,14,49,13,Entity Eliminators,1945
16750,29,34,35,27,34,Mundanifying Mystics,4387
16751,59,78,54,74,69,Wraith Wranglers,5808
16752,60,39,76,80,72,Spectre Slayers,6324
16753,27,46,18,20,27,Mundanifying Mystics,4037
16754,39,46,46,18,14,Mundanifying Mystics,2811
16755,37,40,64,85,66,Phantom Pummelers,2010
16756,28,20,60,38,33,Spectre Slayers,4757
16757,91,86,70,46,65,Entity Eliminators,6598
16758,50,46,6,24,29,Mundanifying Mystics,3681
16759,25,48,15,22,39,Demon Destroyers,2967
16760,25,21,69,48,17,Mundanifying Mystics,3484
16761,45,64,41,37,65,Entity Eliminators,1646
16762,42,57,78,65,77,Wraith Wranglers,4593
16763,32,25,56,77,65,Mundanifying Mystics,3367
16764,54,18,28,24,15,Wraith Wranglers,1214
16765,53,32,49,55,73,Mundanifying Mystics,2260
16766,26,58,18,28,65,Phantom Pummelers,2659
16767,50,78,78,84,79,Demon Destroyers,5396
16768,69,83,85,26,77,Wraith Wranglers,1874
16769,65,83,72,64,76,Mundanifying Mystics,2713
16770,50,35,21,19,24,Mundanifying Mystics,2237
16771,29,9,36,20,31,Spectre Slayers,2486
16772,72,57,37,57,54,Mundanifying Mystics,3416
16773,35,15,20,38,28,Spectre Slayers,1934
16774,61,53,67,59,55,Phantom Pummelers,4484
16775,85,84,64,87,86,Spectre Slayers,4432
16776,70,86,87,63,74,Wraith Wranglers,5324
16777,60,15,15,52,37,Wraith Wranglers,3647
16778,28,32,9,14,37,Demon Destroyers,1882
16779,14,12,27,13,15,Mundanifying Mystics,4231
16780,33,79,81,81,72,Wraith Wranglers,5628
16781,62,54,72,53,69,Mundanifying Mystics,2834
16782,54,34,25,37,57,Mundanifying Mystics,4075
16783,66,37,41,7,43,Demon Destroyers,2855
16784,15,20,32,52,44,Entity Eliminators,2704
16785,57,21,57,62,49,Entity Eliminators,2559
16786,53,36,26,62,78,Mundanifying Mystics,2583
16787,25,24,50,32,18,Demon Destroyers,1651
16788,20,8,21,39,11,Demon Destroyers,1723
16789,52,58,70,40,59,Entity Eliminators,5452
16790,71,81,93,65,58,Phantom Pummelers,4812
16791,46,65,57,57,77,Mundanifying Mystics,3074
16792,63,56,76,39,52,Entity Eliminators,3311
16793,32,32,5,20,16,Wraith Wranglers,2627
16794,68,44,70,68,78,Phantom Pummelers,2859
16795,50,54,78,52,55,Mundanifying Mystics,2833
16796,48,63,59,28,33,Mundanifying Mystics,2240
16797,51,26,80,71,78,Demon Destroyers,5883
16798,51,63,52,75,72,Mundanifying Mystics,2179
16799,21,26,21,15,27,Demon Destroyers,1764
16800,54,69,69,93,63,Spectre Slayers,5984
16801,25,32,52,34,49,Phantom Pummelers,3059
16802,41,52,84,67,70,Mundanifying Mystics,3233
16803,60,75,78,85,59,Phantom Pummelers,4074
16804,51,36,20,58,23,Entity Eliminators,2386
16805,75,52,63,80,38,Mundanifying Mystics,2922
16806,76,76,78,72,81,Entity Eliminators,5651
16807,15,50,35,63,23,Spectre Slayers,2277
16808,61,63,62,79,83,Spectre Slayers,5420
16809,76,79,71,51,30,Mundanifying Mystics,2217
16810,74,58,70,70,77,Phantom Pummelers,2268
16811,25,18,20,37,38,Phantom Pummelers,1805
16812,41,21,30,57,34,Wraith Wranglers,2984
16813,79,74,64,68,79,Entity Eliminators,5210
16814,88,81,55,91,64,Entity Eliminators,4971
16815,25,33,19,12,25,Entity Eliminators,1760
16816,54,70,39,54,76,Demon Destroyers,4445
16817,27,30,15,11,40,Entity Eliminators,3191
16818,29,52,8,43,59,Phantom Pummelers,4989
16819,31,34,23,31,21,Spectre Slayers,2535
16820,57,77,85,74,44,Mundanifying Mystics,4624
16821,53,40,32,33,75,Demon Destroyers,3961
16822,30,17,10,13,12,Mundanifying Mystics,2349
16823,66,65,70,80,53,Demon Destroyers,3473
16824,77,54,58,89,74,Demon Destroyers,5008
16825,36,14,53,40,37,Phantom Pummelers,1204
16826,48,36,66,87,51,Demon Destroyers,4198
16827,74,79,82,76,86,Mundanifying Mystics,2145
16828,53,75,79,61,47,Wraith Wranglers,6942
16829,79,83,71,90,70,Demon Destroyers,6198
16830,47,62,28,12,17,Entity Eliminators,1919
16831,69,75,59,60,73,Spectre Slayers,4130
16832,47,75,14,91,79,Spectre Slayers,1068
16833,71,58,54,27,68,Wraith Wranglers,2621
16834,31,35,55,30,45,Entity Eliminators,3532
16835,10,28,30,11,28,Mundanifying Mystics,3045
16836,48,57,22,81,45,Wraith Wranglers,3667
16837,27,8,48,55,41,Mundanifying Mystics,2933
16838,32,27,50,14,25,Wraith Wranglers,1944
16839,11,22,27,13,36,Demon Destroyers,2092
16840,75,79,87,55,78,Demon Destroyers,3092
16841,43,45,59,75,81,Phantom Pummelers,4495
16842,66,39,90,81,63,Phantom Pummelers,3524
16843,65,73,79,76,71,Entity Eliminators,4902
16844,61,66,65,53,60,Entity Eliminators,4193
16845,26,76,81,73,31,Mundanifying Mystics,2542
16846,23,51,37,46,74,Phantom Pummelers,4139
16847,60,49,55,51,43,Demon Destroyers,2769
16848,26,31,13,9,38,Wraith Wranglers,1129
16849,38,22,21,23,42,Demon Destroyers,3201
16850,13,45,18,31,21,Wraith Wranglers,2947
16851,16,72,66,63,41,Demon Destroyers,3296
16852,20,57,20,11,10,Spectre Slayers,1643
16853,68,58,73,90,68,Demon Destroyers,5041
16854,32,33,11,20,44,Mundanifying Mystics,4683
16855,69,68,26,82,58,Demon Destroyers,4587
16856,64,27,44,22,27,Phantom Pummelers,1748
16857,80,73,75,78,85,Mundanifying Mystics,2551
16858,22,14,31,51,30,Phantom Pummelers,1201
16859,76,78,83,71,73,Phantom Pummelers,5530
16860,17,49,22,53,35,Phantom Pummelers,4220
16861,77,52,67,85,86,Phantom Pummelers,3121
16862,35,25,34,58,21,Spectre Slayers,2557
16863,71,72,69,79,59,Mundanifying Mystics,2893
16864,91,81,81,90,85,Demon Destroyers,7586
16865,30,25,52,18,44,Entity Eliminators,1762
16866,65,39,74,65,86,Demon Destroyers,4717
16867,23,19,10,20,20,Mundanifying Mystics,3946
16868,34,29,24,46,51,Wraith Wranglers,2498
16869,74,78,79,77,78,Mundanifying Mystics,3653
16870,36,36,18,31,53,Spectre Slayers,1823
16871,56,21,14,7,32,Wraith Wranglers,1653
16872,75,65,60,81,83,Demon Destroyers,7130
16873,30,31,52,17,24,Entity Eliminators,2099
16874,24,32,21,22,37,Phantom Pummelers,2690
16875,28,42,23,31,14,Wraith Wranglers,1549
16876,51,23,35,16,26,Mundanifying Mystics,4533
16877,77,53,79,80,81,Mundanifying Mystics,1495
16878,22,23,17,52,23,Wraith Wranglers,3408
16879,27,26,14,40,27,Spectre Slayers,1763
16880,14,8,15,43,16,Demon Destroyers,1017
16881,19,17,23,33,21,Mundanifying Mystics,4151
16882,50,60,47,42,46,Entity Eliminators,2509
16883,15,37,83,57,62,Phantom Pummelers,2827
16884,4,32,21,56,41,Wraith Wranglers,2796
16885,14,29,16,17,21,Phantom Pummelers,2252
16886,37,24,35,14,25,Demon Destroyers,1289
16887,34,43,11,27,14,Demon Destroyers,1152
16888,70,92,42,89,72,Entity Eliminators,4026
16889,48,76,78,64,63,Mundanifying Mystics,3496
16890,56,77,56,76,84,Mundanifying Mystics,2010
16891,64,61,82,93,71,Mundanifying Mystics,2399
16892,63,69,80,56,67,Mundanifying Mystics,2794
16893,77,75,23,83,71,Entity Eliminators,5586
16894,39,25,15,19,25,Phantom Pummelers,2418
16895,57,69,28,80,59,Demon Destroyers,4944
16896,56,79,56,58,69,Demon Destroyers,4465
16897,78,66,35,59,70,Mundanifying Mystics,3352
16898,11,34,31,32,28,Phantom Pummelers,2163
16899,81,60,77,69,63,Demon Destroyers,3854
16900,78,71,64,92,62,Mundanifying Mystics,2852
16901,38,20,29,16,51,Demon Destroyers,3730
16902,65,41,75,74,39,Entity Eliminators,4276
16903,15,30,24,58,17,Spectre Slayers,1679
16904,53,72,69,58,63,Wraith Wranglers,5481
16905,50,53,47,77,52,Wraith Wranglers,5524
16906,30,42,16,17,41,Demon Destroyers,2748
16907,24,23,15,13,24,Entity Eliminators,1880
16908,68,40,72,41,24,Spectre Slayers,4024
16909,55,33,11,15,54,Phantom Pummelers,1957
16910,33,24,75,94,47,Demon Destroyers,3418
16911,72,74,78,86,79,Phantom Pummelers,4747
16912,53,81,70,75,52,Mundanifying Mystics,3616
16913,74,67,80,81,74,Phantom Pummelers,4031
16914,46,35,26,41,35,Phantom Pummelers,2262
16915,32,57,58,52,58,Demon Destroyers,2850
16916,74,75,95,81,67,Mundanifying Mystics,2288
16917,41,33,12,28,48,Mundanifying Mystics,3640
16918,69,74,89,45,59,Entity Eliminators,5929
16919,29,42,23,37,47,Entity Eliminators,2359
16920,55,48,42,29,22,Demon Destroyers,1920
16921,49,32,14,27,38,Mundanifying Mystics,4347
16922,28,24,81,37,13,Wraith Wranglers,2674
16923,21,16,24,19,19,Spectre Slayers,1481
16924,69,80,88,88,65,Wraith Wranglers,5338
16925,38,27,44,13,18,Mundanifying Mystics,3826
16926,68,78,54,65,76,Entity Eliminators,3740
16927,72,78,38,40,53,Mundanifying Mystics,3064
16928,38,16,28,39,32,Demon Destroyers,1825
16929,34,48,36,18,45,Phantom Pummelers,2657
16930,30,8,72,17,39,Wraith Wranglers,2968
16931,32,36,23,16,15,Demon Destroyers,1853
16932,28,25,40,17,21,Mundanifying Mystics,3391
16933,73,52,39,73,79,Wraith Wranglers,4996
16934,19,15,50,32,24,Mundanifying Mystics,3433
16935,32,63,78,67,69,Spectre Slayers,6138
16936,47,38,22,22,25,Demon Destroyers,2223
16937,61,77,69,91,72,Spectre Slayers,4292
16938,39,35,32,10,33,Mundanifying Mystics,5344
16939,39,14,29,9,30,Demon Destroyers,1576
16940,66,58,39,72,60,Mundanifying Mystics,3479
16941,76,51,50,65,35,Demon Destroyers,2943
16942,53,82,56,85,50,Mundanifying Mystics,2720
16943,25,38,33,20,9,Phantom Pummelers,2495
16944,36,22,12,31,33,Mundanifying Mystics,3673
16945,68,57,80,81,89,Mundanifying Mystics,2804
16946,79,60,82,81,83,Spectre Slayers,4908
16947,13,18,18,14,11,Phantom Pummelers,1946
16948,26,36,18,34,18,Demon Destroyers,925
16949,68,78,80,7,64,Wraith Wranglers,2161
16950,55,38,15,52,62,Mundanifying Mystics,2247
16951,55,19,19,41,20,Mundanifying Mystics,3858
16952,30,65,52,74,69,Mundanifying Mystics,2651
16953,40,33,46,17,27,Demon Destroyers,1361
16954,76,57,40,69,53,Entity Eliminators,5860
16955,80,76,80,53,78,Spectre Slayers,6686
16956,58,35,18,25,30,Wraith Wranglers,2517
16957,51,57,43,77,75,Phantom Pummelers,4793
16958,47,51,95,68,80,Spectre Slayers,8087
16959,30,14,27,20,14,Entity Eliminators,2646
16960,36,31,10,73,40,Wraith Wranglers,4545
16961,52,56,5,20,48,Wraith Wranglers,1218
16962,43,30,44,23,45,Wraith Wranglers,1920
16963,68,73,93,78,43,Entity Eliminators,4999
16964,64,57,48,59,77,Demon Destroyers,5820
16965,37,27,12,13,53,Mundanifying Mystics,2792
16966,13,25,24,37,17,Mundanifying Mystics,4205
16967,18,21,34,40,26,Demon Destroyers,1792
16968,76,79,50,52,55,Entity Eliminators,4552
16969,24,21,16,18,23,Phantom Pummelers,2971
16970,59,81,78,43,48,Mundanifying Mystics,3952
16971,65,68,76,68,71,Demon Destroyers,3921
16972,75,87,53,50,77,Demon Destroyers,2981
16973,19,15,29,18,25,Wraith Wranglers,2057
16974,54,74,60,84,80,Spectre Slayers,5083
16975,10,13,66,30,23,Spectre Slayers,3878
16976,53,34,17,13,10,Demon Destroyers,1257
16977,59,52,60,87,56,Phantom Pummelers,3087
16978,44,25,13,22,26,Phantom Pummelers,1455
16979,76,89,67,59,61,Wraith Wranglers,5771
16980,37,11,46,38,45,Demon Destroyers,2333
16981,75,30,33,43,50,Demon Destroyers,2200
16982,38,30,18,49,23,Phantom Pummelers,3045
16983,53,26,16,41,53,Demon Destroyers,3522
16984,68,42,32,42,53,Mundanifying Mystics,3892
16985,53,17,9,11,35,Demon Destroyers,2913
16986,21,22,28,39,31,Wraith Wranglers,5102
16987,60,62,82,71,66,Demon Destroyers,3288
16988,21,48,48,77,69,Demon Destroyers,2398
16989,52,65,22,45,61,Wraith Wranglers,3491
16990,58,53,76,79,64,Mundanifying Mystics,1770
16991,40,34,22,32,21,Spectre Slayers,2194
16992,64,70,71,48,59,Wraith Wranglers,3349
16993,73,41,24,72,69,Demon Destroyers,3727
16994,39,36,35,35,20,Wraith Wranglers,3162
16995,25,65,17,27,52,Entity Eliminators,2461
16996,82,66,58,90,83,Mundanifying Mystics,2229
16997,50,77,85,87,80,Mundanifying Mystics,3566
16998,73,77,81,80,50,Mundanifying Mystics,3362
16999,55,77,13,16,27,Demon Destroyers,1477
17000,61,68,86,84,70,Phantom Pummelers,3644
17001,14,13,18,59,48,Entity Eliminators,1306
17002,74,64,20,29,46,Spectre Slayers,2305
17003,23,15,41,41,36,Demon Destroyers,2712
17004,40,36,89,39,18,Demon Destroyers,1848
17005,25,25,4,88,63,Wraith Wranglers,6223
17006,79,55,73,74,60,Phantom Pummelers,5035
17007,14,7,29,15,16,Mundanifying Mystics,4180
17008,27,27,15,15,19,Spectre Slayers,1190
17009,64,30,38,19,24,Mundanifying Mystics,2592
17010,42,66,76,85,70,Spectre Slayers,7340
17011,57,62,66,78,71,Entity Eliminators,2747
17012,22,27,40,56,41,Demon Destroyers,3518
17013,83,53,68,78,75,Phantom Pummelers,2590
17014,71,69,13,42,18,Spectre Slayers,1084
17015,33,9,32,7,22,Wraith Wranglers,1617
17016,39,56,62,71,76,Mundanifying Mystics,2615
17017,64,78,81,37,72,Entity Eliminators,4140
17018,13,37,28,39,11,Mundanifying Mystics,2147
17019,24,38,17,36,44,Mundanifying Mystics,3813
17020,73,66,71,57,52,Wraith Wranglers,4660
17021,79,77,87,83,76,Demon Destroyers,5675
17022,32,52,73,85,56,Spectre Slayers,6669
17023,27,37,42,74,40,Wraith Wranglers,5435
17024,30,23,10,28,27,Wraith Wranglers,2582
17025,77,74,71,78,45,Mundanifying Mystics,2155
17026,21,56,34,37,50,Entity Eliminators,3383
17027,52,40,63,54,45,Mundanifying Mystics,2258
17028,60,70,80,72,51,Entity Eliminators,4850
17029,63,76,76,63,42,Mundanifying Mystics,2273
17030,23,36,26,21,14,Entity Eliminators,1542
17031,39,46,23,64,30,Phantom Pummelers,2788
17032,8,35,2,23,21,Phantom Pummelers,2439
17033,49,71,57,58,74,Demon Destroyers,4866
17034,46,37,37,70,57,Entity Eliminators,5306
17035,70,76,73,92,85,Entity Eliminators,3469
17036,63,72,92,90,85,Wraith Wranglers,7165
17037,42,23,60,39,58,Mundanifying Mystics,3408
17038,66,63,81,74,80,Spectre Slayers,4822
17039,38,18,32,11,11,Mundanifying Mystics,2675
17040,33,32,39,22,39,Mundanifying Mystics,3318
17041,27,59,76,72,45,Mundanifying Mystics,3503
17042,53,21,7,39,33,Entity Eliminators,2485
17043,41,21,23,66,46,Demon Destroyers,2291
17044,43,38,39,15,44,Demon Destroyers,3375
17045,23,55,21,24,57,Demon Destroyers,3466
17046,23,41,43,25,33,Demon Destroyers,2584
17047,61,81,88,76,77,Demon Destroyers,4453
17048,74,63,17,44,46,Phantom Pummelers,2883
17049,61,39,66,75,84,Spectre Slayers,4924
17050,32,40,35,28,17,Demon Destroyers,1908
17051,75,71,68,36,56,Mundanifying Mystics,2726
17052,65,69,76,75,51,Mundanifying Mystics,2897
17053,32,15,16,35,7,Wraith Wranglers,3288
17054,60,62,79,84,66,Mundanifying Mystics,3979
17055,53,71,10,31,60,Wraith Wranglers,3033
17056,49,26,20,29,67,Wraith Wranglers,2638
17057,26,39,62,19,24,Spectre Slayers,3949
17058,29,17,41,7,10,Mundanifying Mystics,2227
17059,25,37,66,75,47,Phantom Pummelers,3009
17060,25,15,8,52,18,Mundanifying Mystics,3966
17061,19,8,13,44,32,Wraith Wranglers,3537
17062,44,15,34,53,44,Demon Destroyers,2513
17063,77,46,20,57,77,Wraith Wranglers,5690
17064,52,69,28,78,68,Phantom Pummelers,2586
17065,22,21,24,20,32,Entity Eliminators,975
17066,73,42,21,27,63,Mundanifying Mystics,3030
17067,25,10,17,55,31,Mundanifying Mystics,2641
17068,20,18,27,23,34,Demon Destroyers,1743
17069,80,57,81,48,57,Demon Destroyers,3124
17070,79,69,22,74,63,Mundanifying Mystics,3042
17071,9,59,38,83,50,Wraith Wranglers,5959
17072,75,68,65,83,61,Demon Destroyers,4704
17073,72,62,95,89,83,Entity Eliminators,3738
17074,41,23,37,59,18,Wraith Wranglers,3954
17075,69,21,15,28,20,Phantom Pummelers,1060
17076,78,85,83,84,72,Wraith Wranglers,3664
17077,54,25,66,58,43,Mundanifying Mystics,3126
17078,45,83,71,72,50,Entity Eliminators,4004
17079,66,59,42,62,40,Mundanifying Mystics,2713
17080,23,16,31,19,23,Wraith Wranglers,1582
17081,79,74,59,63,80,Phantom Pummelers,4111
17082,88,64,84,67,73,Spectre Slayers,4151
17083,70,74,67,74,70,Wraith Wranglers,5537
17084,82,69,71,55,70,Demon Destroyers,3813
17085,61,71,68,83,71,Phantom Pummelers,3528
17086,16,29,43,17,25,Demon Destroyers,2307
17087,32,24,17,53,18,Mundanifying Mystics,2711
17088,32,50,85,93,37,Mundanifying Mystics,2814
17089,58,40,14,55,40,Mundanifying Mystics,3970
17090,37,37,65,36,26,Demon Destroyers,2472
17091,16,17,15,13,30,Spectre Slayers,2123
17092,60,40,66,87,50,Phantom Pummelers,3625
17093,41,41,25,63,13,Entity Eliminators,1777
17094,47,29,18,9,30,Demon Destroyers,2138
17095,64,83,85,74,67,Demon Destroyers,4840
17096,53,72,83,45,56,Demon Destroyers,4321
17097,56,58,53,88,55,Phantom Pummelers,3241
17098,37,28,13,27,35,Phantom Pummelers,1829
17099,58,57,74,86,61,Demon Destroyers,4846
17100,24,32,26,12,22,Wraith Wranglers,1755
17101,61,77,75,32,72,Phantom Pummelers,6653
17102,32,31,58,19,32,Mundanifying Mystics,2914
17103,14,13,10,12,33,Entity Eliminators,1427
17104,22,51,83,70,75,Entity Eliminators,3720
17105,57,51,51,72,84,Phantom Pummelers,4489
17106,83,68,28,77,75,Wraith Wranglers,3956
17107,12,47,12,11,13,Entity Eliminators,1950
17108,65,69,23,65,84,Phantom Pummelers,3324
17109,41,68,20,49,81,Demon Destroyers,4513
17110,54,55,43,52,43,Demon Destroyers,3690
17111,47,35,13,84,52,Mundanifying Mystics,2767
17112,47,65,17,43,43,Demon Destroyers,2640
17113,76,86,45,75,58,Spectre Slayers,3817
17114,69,77,74,51,72,Demon Destroyers,3367
17115,24,27,26,13,20,Mundanifying Mystics,3785
17116,32,35,44,27,31,Mundanifying Mystics,4249
17117,32,25,10,38,23,Mundanifying Mystics,3798
17118,18,55,18,20,32,Demon Destroyers,2153
17119,42,46,50,41,56,Entity Eliminators,2501
17120,33,53,30,74,60,Wraith Wranglers,4503
17121,24,24,30,58,36,Mundanifying Mystics,3235
17122,42,36,45,30,25,Mundanifying Mystics,2413
